id,company,companySlug,title,roleCategory,country,location,isRemote,isInternship,datePostedUtc,firstDiscoveredAtUtc,lastVerifiedAtUtc,scoutJobUrl,sourceUrl
09b7bcce-7af8-4344-b698-a873aece8923,Oracle,oracle,Senior Principal - Oracle Cloud Infrastructure AI Network Engineering,SeniorSoftwareEngineeringExtensive,United States,United States,False,False,,2026-06-24T18:20:03.656951Z,2026-06-24T18:20:03.656951Z,https://www.scoutjob.me/jobs/oracle-senior-principal-oracle-cloud-infrastructure-ai-network-engineering-337294,https://careers.oracle.com/en/sites/jobsearch/job/337294
e629ba3c-254c-47e7-88d7-4b839330a022,JPMorgan Chase,jpmorgan,Trade Support Analyst,Analyst,United States,United States,False,False,,2026-06-24T18:19:58.778214Z,2026-06-24T18:19:58.778214Z,https://www.scoutjob.me/jobs/jpmorgan-trade-support-analyst-210757331,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210757331
1a81923b-0852-46ed-afce-9b9161b414a8,JPMorgan Chase,jpmorgan,AI Engineer - Lead Software Engineer,SeniorDataAiMl,United States,United States,False,False,,2026-06-24T18:19:58.752481Z,2026-06-24T18:19:58.752481Z,https://www.scoutjob.me/jobs/jpmorgan-ai-engineer-lead-software-engineer-210762503,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210762503
b5c3a4d5-68e3-429f-83af-54dcafb53916,Apple,apple,RF Hardware Engineer - Multi-Radio Coexistence,HardwareEngineering,United States,United States,False,False,,2026-06-24T18:18:09.614844Z,2026-06-24T18:18:09.614844Z,https://www.scoutjob.me/jobs/apple-rf-hardware-engineer-multi-radio-coexistence-200669810,https://jobs.apple.com/en-us/details/200669810/rf-hardware-engineer-multi-radio-coexistence
22ab50c0-60a7-470d-82ca-c353950ef941,Oracle,oracle,Senior Software Engineer,SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T18:09:46.841741Z,2026-06-24T18:09:46.841741Z,https://www.scoutjob.me/jobs/oracle-senior-software-engineer-337756,https://careers.oracle.com/en/sites/jobsearch/job/337756
1f62b219-2c06-4422-8302-b14a96d6bddc,JPMorgan Chase,jpmorgan,Software Engineer II - Test Automation Engineer,SoftwareEngineering,United States,United States,False,False,,2026-06-24T17:59:51.421571Z,2026-06-24T17:59:51.421571Z,https://www.scoutjob.me/jobs/jpmorgan-software-engineer-ii-test-automation-engineer-210751403,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210751403
8d6cdc80-c3b7-4dc9-bdc4-09293dea26b0,JPMorgan Chase,jpmorgan,Manager of Software Engineering - Sr AWS/Full Stack Java Developer,SeniorSoftwareEngineering,United States,United States,False,False,,2026-06-24T17:59:51.339066Z,2026-06-24T17:59:51.339066Z,https://www.scoutjob.me/jobs/jpmorgan-manager-of-software-engineering-sr-aws-full-stack-java-developer-210757917,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210757917
ebd6bdfe-7e3e-477f-b9e6-3e7c24993b61,Airbnb,airbnb,"Senior Software Engineer, Dev Tools",SeniorSoftwareEngineering,Remote,Remote,True,False,,2026-06-24T17:57:37.252904Z,2026-06-24T17:57:37.252904Z,https://www.scoutjob.me/jobs/airbnb-senior-software-engineer-dev-tools-8021476,https://careers.airbnb.com/positions/8021476
dc2d0280-2a65-48cf-b4fc-7c62bd0ec0b0,Anthropic,anthropic,"Manager, Applied AI Engineering, Life Sciences (Beneficial Deployments)",SeniorSoftwareEngineeringExtensive,United States,United States,False,False,,2026-06-24T17:56:58.459485Z,2026-06-24T17:56:58.459485Z,https://www.scoutjob.me/jobs/anthropic-manager-applied-ai-engineering-life-sciences-beneficial-deployments-5277834008,https://job-boards.greenhouse.io/anthropic/jobs/5277834008
3813d8cd-fcce-4ec2-8688-32cca3d37d66,Uber,uber,Sr Software Engineer - CSE - Rio de Janeiro,SeniorSoftwareEngineering,Brazil,Brazil,False,False,,2026-06-24T17:51:39.263448Z,2026-06-24T17:51:39.263448Z,https://www.scoutjob.me/jobs/uber-sr-software-engineer-cse-rio-de-janeiro-151927,https://www.uber.com/global/en/careers/list/151927
